locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
7:44418719-44530479,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,41.4444,44.5023,0.102703,0.0744426,0.8044,0.999983,no
5:50668569-50690564,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.218428,0.0163093,-3.74339,-1.47879,0.00195,0.149076,no
3:53528682-53880417,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.08322,2.94306,-0.0671244,-0.0287691,0.89195,0.999983,no
6:137321107-137366298,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.85141,1.37504,-0.429154,-0.349289,0.2876,0.999983,no
1:86934050-86965972,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.000762075,0.00064373,-0.243479,0,1,1,no
1:87012760-87158886,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,NOTEST,0.0022255,0.0026908,0.273906,0,1,1,no
3:52529353-52742182,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,35.8642,35.5277,-0.0135988,-0.00567158,0.9798,0.999983,no
3:130569438-131100319,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,28.0823,25.9728,-0.11266,-0.123101,0.70355,0.999983,no
17:36686250-36762183,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.425676,0.452966,0.0896455,0.0472619,0.86675,0.999983,no
12:102789644-102874423,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.10639,2.53264,0.265871,0.16762,0.6066,0.999983,no
X:48316919-48328644,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.00566,0.97846,-0.0395583,-0.0298543,0.92865,0.999983,no
X:49019060-49024822,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.65561,1.44287,-0.198425,-0.161682,0.7057,0.999983,no
