locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
17:76783462-76837523,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.57847,5.37991,0.232716,0.239974,0.3813,0.937279,no
7:151832009-152133090,AMD Peripheral Retina,Normal Peripheral Retina,OK,17.2127,18.6491,0.115628,0.0751919,0.7098,0.999533,no
1:85464829-85598821,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0954163,0.0412546,-1.20968,0,1,1,no
2:56179292-56613308,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.48451,4.84383,0.475194,0.710807,0.085,0.569058,no
2:20448451-20551995,AMD Peripheral Retina,Normal Peripheral Retina,OK,39.8622,45.8228,0.201044,0.243097,0.4867,0.973279,no
10:102729214-102754158,AMD Peripheral Retina,Normal Peripheral Retina,OK,32.3287,38.3367,0.245911,0.448337,0.3033,0.899322,no
3:52846990-52931612,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.799708,1.19781,0.582858,0.171232,0.24,0.851312,no
3:52811602-52826078,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.130384,0.0956321,-0.447198,-0.246764,0.32035,0.910197,no
4:170650615-170679104,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.9467,13.0561,0.128109,0.218124,0.58905,0.990017,no
5:32354455-32444867,AMD Peripheral Retina,Normal Peripheral Retina,OK,37.0811,39.7504,0.100287,0.185814,0.6126,0.993888,no
X:129336684-129402873,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.0502,1.65448,-0.309385,-0.363694,0.38015,0.937279,no
4:72897520-73013784,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.470549,0.534574,0.184045,0.130459,0.7895,0.999533,no
22:45277041-45405880,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.74496,4.3884,0.228746,0.259787,0.456,0.963628,no
9:123664670-123691451,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.05619,2.17088,1.03941,1.49095,0.00045,0.0246888,yes
9:125606834-125667620,AMD Peripheral Retina,Normal Peripheral Retina,OK,16.9368,16.3962,-0.0467932,-0.0764562,0.8217,0.999533,no
17:36886487-36906969,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.15458,4.2313,-0.284754,-0.195343,0.69335,0.999533,no
3:53880606-53899827,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.79631,2.10914,-0.406868,-0.431326,0.32135,0.910197,no
6:111620233-111927481,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.98863,3.19076,-0.32199,-0.110648,0.52755,0.982131,no
X:2746828-2800859,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.81727,1.27532,-0.510912,-0.514262,0.13615,0.701928,no
